lat,lon,speed,gear
35.229922,126.842889,0,5
35.22992523,126.84288,1.414213562,5
35.22992847,126.842871,2,5
35.2299317,126.842862,2.449489743,5
35.22993494,126.842853,2.828427125,5
35.22993817,126.842844,3.16227766,5
35.22994141,126.842835,3.464101615,5
35.22994464,126.842826,4,5
35.22994788,126.842817,4.242640687,5
35.22995111,126.842808,4.472135955,5
35.22995435,126.842799,4.69041576,5
35.22995758,126.84279,4.898979486,5
35.22996082,126.842781,5.099019514,5
35.22996405,126.842772,5.291502622,5
35.22996729,126.842763,5.477225575,5
35.22997052,126.842754,5.656854249,5
35.22997376,126.842745,5.830951895,5
35.22997699,126.842736,6,5
35.22998022,126.842727,6.164414003,5
35.22998346,126.842718,6.32455532,5
35.22998669,126.842709,6.480740698,5
35.22998993,126.8427,6.633249581,5
35.22999316,126.842691,6.782329983,5
35.2299964,126.842682,6.92820323,5
35.22999963,126.842673,7.071067812,5
35.23000287,126.842664,7.211102551,5
35.2300061,126.842655,7.348469228,5
35.23000934,126.842646,7.483314774,5
35.23001257,126.842637,7.615773106,5
35.23001581,126.842628,7.745966692,5
35.23001904,126.842619,7.874007874,5
35.23002228,126.84261,8,5
35.23002551,126.842601,8,5
35.23002874,126.842592,8,5
35.23003198,126.842583,8,5
35.23003521,126.842574,8,5
35.23003845,126.842565,8,5
35.23004168,126.842556,8,5
35.23004492,126.842547,8,5
35.23004815,126.842538,8,5
35.23005139,126.842529,8,5
35.23005462,126.84252,8,5
35.23005786,126.842511,8,5
35.23006109,126.842502,8,5
35.23006433,126.842493,8,5
35.23006756,126.842484,8,5
35.2300708,126.842475,8,5
35.23007403,126.842466,8,5
35.23007727,126.842457,8,5
35.2300805,126.842448,8,5
35.23008373,126.842439,8,5
35.23008697,126.84243,8,5
35.2300902,126.842421,8,5
35.23009344,126.842412,8,5
35.23009667,126.842403,8,5
35.23009991,126.842394,8,5
35.23010314,126.842385,8,5
35.23010638,126.842376,8,5
35.23010961,126.842367,8,5
35.23011285,126.842358,8,5
35.23011608,126.842349,8,5
35.23011932,126.84234,8,5
35.23012255,126.842331,8,5
35.23012579,126.842322,8,5
35.23012902,126.842313,8,5
35.23013226,126.842304,8,5
35.23013549,126.842295,8,5
35.23013872,126.842286,8,5
35.23014196,126.842277,8,5
35.23014519,126.842268,8,5
35.23014843,126.842259,8,5
35.23015166,126.84225,8,5
35.2301549,126.842241,8,5
35.23015813,126.842232,8,5
35.23016137,126.842223,8,5
35.2301646,126.842214,8,5
35.23016784,126.842205,8,5
35.23017107,126.842196,8,5
35.23017431,126.842187,8,5
35.23017754,126.842178,8,5
35.23018078,126.842169,8,5
35.23018401,126.84216,8,5
35.23018724,126.842151,8,5
35.23019048,126.842142,8,5
35.23019371,126.842133,8,5
35.23019695,126.842124,8,5
35.23020018,126.842115,8,5
35.23020342,126.842106,8,5
35.23020665,126.842097,8,5
35.23020989,126.842088,8,5
35.23021312,126.842079,8,5
35.23021636,126.84207,8,5
35.23021959,126.842061,8,5
35.23022283,126.842052,8,5
35.23022606,126.842043,8,5
35.2302293,126.842034,8,5
35.23023253,126.842025,8,5
35.23023577,126.842016,8,5
35.230239,126.842007,8,5
35.23024223,126.841998,8,5
35.23024547,126.841989,8,5
35.2302487,126.84198,8,5
35.23025194,126.841971,8,5
35.23025517,126.841962,8,5
35.23025841,126.841953,8,5
35.23026164,126.841944,8,5
35.23026488,126.841935,8,5
35.23026811,126.841926,8,5
35.23027135,126.841917,8,5
35.23027458,126.841908,8,5
35.23027782,126.841899,8,5
35.23028105,126.84189,8,5
35.23028429,126.841881,8,5
35.23028752,126.841872,8,5
35.23029076,126.841863,8,5
35.23029399,126.841854,8,5
35.23029722,126.841845,8,5
35.23030046,126.841836,8,5
35.23030369,126.841827,8,5
35.23030693,126.841818,8,5
35.23031016,126.841809,8,5
35.2303134,126.8418,8,5
35.23031663,126.841791,8,5
35.23031987,126.841782,8,5
35.2303231,126.841773,8,5
35.23032634,126.841764,8,5
35.23032957,126.841755,8,5
35.23033281,126.841746,8,5
35.23033604,126.841737,8,5
35.23033928,126.841728,8,5
35.23034251,126.841719,8,5
35.23034574,126.84171,8,5
35.23034898,126.841701,8,5
35.23035221,126.841692,8,5
35.23035545,126.841683,8,5
35.23035868,126.841674,8,5
35.23036192,126.841665,8,5
35.23036515,126.841656,8,5
35.23036839,126.841647,8,5
35.23037162,126.841638,8,5
35.23037486,126.841629,8,5
35.23037809,126.84162,8,5
35.23038133,126.841611,8,5
35.23038456,126.841602,8,5
35.2303878,126.841593,8,5
35.23039103,126.841584,8,5
35.23039427,126.841575,8,5
35.2303975,126.841566,8,5
35.23040073,126.841557,8,5
35.23040397,126.841548,8,5
35.2304072,126.841539,8,5
35.23041044,126.84153,8,5
35.23041367,126.841521,8,5
35.23041691,126.841512,8,5
35.23042014,126.841503,8,5
35.23042338,126.841494,8,5
35.23042661,126.841485,8,5
35.23042985,126.841476,8,5
35.23043308,126.841467,8,5
35.23043632,126.841458,8,5
35.23043955,126.841449,8,5
35.23044279,126.84144,8,5
35.23044602,126.841431,8,5
35.23044926,126.841422,8,5
35.23045249,126.841413,8,5
35.23045572,126.841404,8,5
35.23045896,126.841395,8,5
35.23046219,126.841386,8,5
35.23046543,126.841377,8,5
35.23046866,126.841368,8,5
35.2304719,126.841359,7.874007874,5
35.23047513,126.84135,7.745966692,5
35.23047837,126.841341,7.615773106,5
35.2304816,126.841332,7.483314774,5
35.23048484,126.841323,7.348469228,5
35.23048807,126.841314,7.211102551,5
35.23049131,126.841305,7.071067812,5
35.23049454,126.841296,6.92820323,5
35.23049778,126.841287,6.782329983,5
35.23050101,126.841278,6.633249581,5
35.23050424,126.841269,6.480740698,5
35.23050748,126.84126,6.32455532,5
35.23051071,126.841251,6.164414003,5
35.23051395,126.841242,6,5
35.23051718,126.841233,5.830951895,5
35.23052042,126.841224,5.656854249,5
35.23052365,126.841215,5.477225575,5
35.23052689,126.841206,5.291502622,5
35.23053012,126.841197,5.099019514,5
35.23053336,126.841188,4.898979486,5
35.23053659,126.841179,4.69041576,5
35.23053983,126.84117,4.472135955,5
35.23054306,126.841161,4.242640687,5
35.2305463,126.841152,4,5
35.23054953,126.841143,3.464101615,5
35.23055277,126.841134,3.16227766,5
35.230556,126.841125,3,5
35.23056,126.841069,3,5
35.23055733,126.8410587,3,5
35.23055465,126.8410483,3,5
35.23055198,126.841038,3,5
35.2305493,126.8410276,3,5
35.23054663,126.8410173,3,5
35.23054395,126.8410069,3,5
35.23054128,126.8409966,3,5
35.2305386,126.8409862,3,5
35.23053593,126.8409759,3,5
35.23053325,126.8409655,3,5
35.23053058,126.8409552,3,5
35.2305279,126.8409448,3,5
35.23052523,126.8409345,3,5
35.23052255,126.8409241,3,5
35.23051988,126.8409138,3,5
35.2305172,126.8409034,3,5
35.23051453,126.8408931,3,5
35.23051185,126.8408827,3,5
35.23050918,126.8408724,3,5
35.2305065,126.840862,3,5
35.23050383,126.8408517,3,5
35.23050115,126.8408413,3,5
35.23049848,126.840831,3,5
35.2304958,126.8408206,3,5
35.23049313,126.8408103,3,5
35.23049045,126.8407999,3,5
35.23048778,126.8407896,3,5
35.2304851,126.8407792,3,5
35.23048243,126.8407689,3,5
35.23047975,126.8407585,3,5
35.23047708,126.8407482,3,5
35.2304744,126.8407378,3,5
35.23047173,126.8407275,3,5
35.23046905,126.8407171,3,5
35.23046638,126.8407068,3,5
35.2304637,126.8406964,3,5
35.23046103,126.8406861,3,5
35.23045835,126.8406757,3,5
35.23045568,126.8406654,3,5
35.230453,126.840655,3,5
